"MP name","Nature of membership","Start of term","End of term","State","Constituency","Political party","Gender","Educational qualifications","Educational qualifications - details","age","Age","Debates","DebatesFormula","debates","Private Member Bills","Private Member BillsFormula","private member bills","Questions","QuestionFormula","questions","Attendance","attendance","AttendanceFormula","Notes","National Debates average","National Private Member Bills average","National Questions average","National Attendance average","State's Debates average","State's Private Member Bills  average","State's Questions average","State's Attendance average","Latitude","Longitude","LongitudeNS"
"Jadhav Baliram Sukur","Elected","18/05/2009","In office","Maharashtra","Palghar","Bahujan Vikas Aaghadi","Male","Under Matric",,56,56,6,21,21,0,2,2,183,268,268,"93%",1.13,1.13," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",21,1.2,354,"74%",23.980784,84.3894551932638,-84.389455
"Jadhav Prataprao Ganpatrao","Elected","18/05/2009","In office","Maharashtra","Buldhana","Shiv Sena","Male","Under Graduate","B.A. - II; Educated at Shri Shivaji College, Chikhil, Buldana",51,51,12,27,27,0,2,2,282,367,367,"63%",0.83,0.83," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",21,1.2,354,"74%",20.563584,76.4448127462249,-76.444813
"Jagada Nand Singh","Elected","18/05/2009","In office","Bihar","Buxar","Rashtriya Janata Dal","Male","Graduate","B.Sc., LL.B.; Educated at Banaras Hindu University and Harish Chandra P.G. College, Varanasi",70,70,63,78,78,0,2,2,312,397,397,"94%",1.14,1.14," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.5,235,"87%",25.439018,75.7950781523436,-75.795078
"Jagdambika Pal","Elected","18/05/2009","In office","Uttar Pradesh","Domariyaganj","Indian National Congress","Male","Post Graduate","M.A. (Pol. Science, Modern History & Ancient History) & LL.B.; Educated at Awadh University, L.L.B., Gorakhpur University",61,61,155,170,170,4,6,6,205,290,290,"93%",1.13,1.13," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",33.3,0.4,178,"80%",22.979931,74.0536217492995,-74.053622
"Jagdish Sharma","Elected","18/05/2009","In office","Bihar","Jahanabad","Janata Dal (United)","Male","Graduate","B.Vsc. & A.H., L.L.B.; Educated at Magadh University and Rajendra Agricultural University Pussa (Bihar) ",61,61,22,37,37,0,2,2,368,453,453,"83%",1.03,1.03," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.5,235,"87%",20.182192,86.4004594290151,-86.400459
"Jagdish Singh Rana","Elected","18/05/2009","In office","Uttar Pradesh","Saharanpur","Bahujan Samaj Party","Male","Graduate","B.A.; Educated at J.V. Jain College, Saharanpur, Uttar Pradesh",58,58,10,25,25,0,2,2,93,178,178,"84%",1.04,1.04," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",33.3,0.4,178,"80%",29.984319,77.5346303278014,-77.53463
"Jagdish Thakor","Elected","18/05/2009","In office","Gujarat","Patan","Indian National Congress","Male","Matric","Educated at N.S. Vidyalaya, Naroda, Gujarat",55,55,17,32,32,0,2,2,218,303,303,"64%",0.84,0.84," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%","29/01/1900",1,276,"80%",22.562778,85.6162191546017,-85.616219
"Jai Prakash Agarwal","Elected","18/05/2009","In office","Delhi","North East Delhi","Indian National Congress","Male","Graduate","B.A.; Educated at Hansraj College, Delhi",67,67,67,82,82,17,19,19,656,741,741,"98%",1.18,1.18," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",27.5,4.3,226,"96%",28.721014,77.279983418931,-77.279983
"Jainarain Prasad Nishad","Elected","18/05/2009","In office","Bihar","Muzaffarpur","Janata Dal (United)","Male","Inter/ Higher Secondary","Educated at Madhya Pradesh Education Board, Bhopal (Madhya Pradesh) ",81,81,5,20,20,0,2,2,60,145,145,"82%",1.02,1.02," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.5,235,"87%",26.147362,85.3155861832278,-85.315586
"Jaipal Sudini Reddy","Elected","18/05/2009","In office","Andhra Pradesh","Chelvella","Indian National Congress","Male","Post Graduate","M.A. (English), B.J.; Educated at Osmania University, Hyderabad, Andhra Pradesh",70,70,-3,12,12,-1,1,1,-10,75,75,-0.1,0.1,0.1,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",24.103819,84.8984247014541,-84.898425
"Janardhana Swamy","Elected","18/05/2009","In office","Karnataka","Chitradurga","Bharatiya Janata Party","Male","Post Graduate","M.E. (Electrical Communication Engineering); Educated at Indian Institute of Science (IISc), Bangalore, Karnataka",44,44,4,19,19,0,2,2,5,90,90,"62%",0.82,0.82," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",14.4,0.2,243,"70%",14.30491,76.7712583029079,-76.771258
"Jaswant Singh","Elected","18/05/2009","In office","West Bengal","Darjeeling","Bharatiya Janata Party","Male","Graduate","B.A., B.Sc.; Educated at Mayo College, Ajmer, Joint Services Wing, Clement Town, Dehradun. N.D.A. Khadakvasla and Indian Military Academy, Dehradun",74,74,14,29,29,0,2,2,0,85,85,"75%",0.95,0.95," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.8,135,"72%",26.082975,86.0451621644123,-86.045162
"Jayant Chaudhary","Elected","18/05/2009","In office","Uttar Pradesh","Mathura","Rashtriya Lok Dal","Male","Post Graduate","M.Sc., Accounts and Finance; Educated at Landon School of Economics and Political Science",33,33,34,49,49,2,4,4,126,211,211,"84%",1.04,1.04," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",33.3,0.4,178,"80%",27.59899,77.6227243656068,-77.622724
"Jayaram Pangi","Elected","18/05/2009","In office","Orissa","Koraput","Biju Janata Dal","Male","Inter/ Higher Secondary","Educated at Govt. TRW High School, Sunabeda - 1, Orissa; Hal, Sunabeda",57,57,4,19,19,0,2,2,182,267,267,"71%",0.91,0.91," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",27.4,0.6,279,"76%",18.738295,82.7516103400711,-82.75161
"Jayshreeben Kanubhai Patel","Elected","18/05/2009","In office","Gujarat","Mehesana","Bharatiya Janata Party","Female","Matric",,53,53,99,114,114,1,3,3,336,421,421,"88%",1.08,1.08," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%","29/01/1900",1,276,"80%",28.999234,77.7972649890065,-77.797265
"Jeetendra Singh Bundela","Elected","18/05/2009","In office","Madhya Pradesh","Khajuraho","Bharatiya Janata Party","Male","Post Graduate","M.A., LL.B; Maharaja Mahavidyalya Chhattarpur, Madhya Pradesh and Motilal Vidhi Mahavidyalaya Chattarpur, Madhya Pradesh",53,53,44,59,59,0,2,2,221,306,306,"90%",1.1,1.1," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.5,0.1,174,"83%",25.491471,86.5705190024402,-86.570519
"Jhansi Botcha Lakshmi","Elected","18/05/2009","In office","Andhra Pradesh","Vizianagaram","Indian National Congress","Female","Doctorate","M.A. (Philosophy), Ph.D.",48,48,120,135,135,0,2,2,305,390,390,"91%",1.11,1.11," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",15.2,0.4,257,"70%",18.496149,83.4118935581119,-83.411894
"Jitender Singh Malik","Elected","18/05/2009","In office","Haryana","Sonipat","Indian National Congress","Male","Graduate","B.A., LL.B.",42,42,8,23,23,0,2,2,50,135,135,"63%",0.83,0.83," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",8.7,0.1,149,"69%",29.051343,76.8539127401336,-76.853913
"Jitendra Singh","Elected","18/05/2009","In office","Rajasthan","Alwar","Indian National Congress","Male","Graduate","B.Com; Educated at Delhi University & Wynberg Allan, Mussoorie",41,41,1,16,16,0,2,2,0,85,85,"69%",0.89,0.89,"This MP was appointed a minister in July, 2011.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 25th March, 2011. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",15.8,0.4,119,"77%",16.8,0.5,103,"88%",27.638719,76.6734339971837,-76.673434
"Jitin Prasada","Elected","18/05/2009","In office","Uttar Pradesh","Dhaurahra","Indian National Congress","Male","Post Graduate","M.B.A.; Educated at Sri Ram College of Commerce, Delhi and IMI, Delhi",38,38,-3,12,12,-1,1,1,-10,75,75,-0.1,0.1,0.1,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",26.65411,77.7489517585888,-77.748952
"Jose K. Mani","Elected","18/05/2009","In office","Kerala","Kottayam","Kerala Congress (M)","Male","Post Graduate","B.Com., M.B.A. (Marketing); Educated at Loyola College, Chennai and P.S.G. College of Technology, Coimbatore",47,47,52,67,67,0,2,2,398,483,483,"83%",1.03,1.03," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%","18/02/1900",1.1,299,"84%",9.628861,76.6765882351687,-76.676588
"Joseph Toppo","Elected","18/05/2009","In office","Assam","Tezpur","Asom Gana Parishad","Male","Inter/ Higher Secondary","H.S.L.C., Diploma in Automobile Engineering; Educated at Don Bosco Technical School Maligaon, Guwahati",58,58,15,30,30,0,2,2,115,200,200,"73%",0.93,0.93," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",16.2,0.5,59,"81%",30.466121,78.5003437477282,-78.500344
"Jyoti Dhurve","Elected","18/05/2009","In office","Madhya Pradesh","Betul","Bharatiya Janata Party","Female","Post Graduate","M.A. (Political Science), Educated at Durga Mahavidhyala Raipur, Chattisgarh",46,46,48,63,63,0,2,2,243,328,328,"85%",1.05,1.05," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.5,0.1,174,"83%",21.879639,77.7792483618889,-77.779248
"Jyoti Mirdha","Elected","18/05/2009","In office","Rajasthan","Nagaur","Indian National Congress","Female","Graduate","M.B.B.S.; Educated at SMS Medical College, Jaipur (Rajasthan) ",40,40,26,41,41,0,2,2,58,143,143,"93%",1.13,1.13," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",37.1,0.8,207,"88%",27.057439,74.2414958744663,-74.241496
"Jyotiraditya Madhavrao Scindia","Elected","18/05/2009","In office","Madhya Pradesh","Guna","Indian National Congress","Male","Post Graduate","M.A., M.B.A.; Educated at Doon School, Dehradun, Harvard University (U.S.A.) and Stanford University, California (USA) ",41,41,-3,12,12,-1,1,1,-10,75,75,-0.1,0.1,0.1,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",24.4998,77.5406806088227,-77.540681
"K. C. Venugopal","Elected","18/05/2009","In office","Kerala","Alappuzha","Indian National Congress","Male","Post Graduate","M.Sc. (Mathematics); Educated at Calicut University",49,49,39,54,54,0,2,2,235,320,320,"84%",1.04,1.04,"This MP was appointed a minister in January, 2011.  Ministers represent the government, so we do not report their participation.  Participation and attendance details for this MP are thus available only till 13th December, 2010. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",12.4,0.3,103,"77%",23.4,0.2,153,"84%",9.487385,76.4871512080153,-76.487151
"K. D. Deshmukh","Elected","18/05/2009","In office","Madhya Pradesh","Balaghat","Bharatiya Janata Party","Male","Graduate","B.Sc., LL.B.; Educated at Govt. J.S.T. College, Balaghat",63,63,54,69,69,0,2,2,147,232,232,"68%",0.88,0.88," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.5,0.1,174,"83%",21.858788,80.2797232089921,-80.279723
"K. Jayaprakash Hegde","Elected","27/03/2012","In office","Karnataka","Udupi Chikmagalur","Indian National Congress","Male","Graduate","Law",52,52,4,19,19,0,2,2,12,97,97,"97%",1.17,1.17," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",5.8,0.2,41,"77%",3.5,0,49,"70%",13.48428,74.891111229887,-74.891111
"K. Jayasurya Prakash Reddy","Elected","18/05/2009","In office","Andhra Pradesh","Kurnool","Indian National Congress","Male","Graduate","B.A.; Educated at Nizam College, Hyderabad, Andhra Pradesh",60,60,0,15,15,0,2,2,496,581,581,"55%",0.75,0.75," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",15.2,0.4,257,"70%",15.533263,77.9536652696221,-77.953665
"K. Murugesan Anandan","Elected","18/05/2009","In office","Tamil Nadu","Viluppuram","All India Anna Dravida Munnetra Kazhagam","Male","Under Graduate","P.U.C.; Attended B.Sc course for three years; Educated at Govt. Arts College, Cuddalore, Tamil Nadu in the year 1971-74",60,60,16,31,31,1,3,3,147,232,232,"88%",1.08,1.08," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.2,0.2,261,"73%",11.975858,79.3158807635216,-79.315881
"K. P. Dhanapalan","Elected","18/05/2009","In office","Kerala","Chalakudy","Indian National Congress","Male","Graduate","B.Sc. (Chemistry); Educated at U.C. College, Aluva",62,62,47,62,62,0,2,2,312,397,397,"100%",1.2,1.2," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%","18/02/1900",1.1,299,"84%",28.636914,77.2230689181114,-77.223069
"K. Sugumar","Elected","18/05/2009","In office","Tamil Nadu","Pollachi","All India Anna Dravida Munnetra Kazhagam","Male","Graduate","B.Com.; Educated at P.S.G. College of Arts & Science, Coimbatore",51,51,33,48,48,0,2,2,398,483,483,"83%",1.03,1.03," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.2,0.2,261,"73%",30.020628,80.4209225020786,-80.420923
"K.C. Singh Baba","Elected","18/05/2009","In office","Uttarakhand","Nainital-Udhamsingh Nagar","Indian National Congress","Male","Inter/ Higher Secondary","Senior Cambridge; Educated at St. Joseph`s College, Nainital, Uttarakhand",65,65,15,30,30,6,8,8,208,293,293,"65%",0.85,0.85," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",38.5,4.6,78,"82%",29.29546,79.4033026294989,-79.403303
"K.H. Muniyappa","Elected","18/05/2009","In office","Karnataka","Kolar","Indian National Congress","Male","Graduate","B.A., LL.B.; Educated at Bangalore University (Karnataka) ",64,64,-3,12,12,-1,1,1,-10,75,75,-0.1,0.1,0.1,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",13.360701,77.9754685275292,-77.975469
"K.V. Thomas","Elected","18/05/2009","In office","Kerala","Ernakulam","Indian National Congress","Male","Post Graduate","M.Sc. (Chemistry); Educated at Scared Heart College, Cochin, Kerala",66,66,-3,12,12,-1,1,1,-10,75,75,-0.1,0.1,0.1,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",10.045154,76.5043777779996,-76.504378
"Kabindra Purkayastha","Elected","18/05/2009","In office","Assam","Silchar","Bharatiya Janata Party","Male","Post Graduate","M.A., B.T.; Educated at Gauhati University, Gauhati (Assam) ",80,80,25,40,40,1,3,3,110,195,195,"89%",1.09,1.09," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",16.2,0.5,59,"81%",27.66205,75.3892536690303,-75.389254
"Kabir Suman","Elected","18/05/2009","In office","West Bengal","Jadavpur","All India Trinamool Congress","Male","Graduate","B.A. (Hons.) English Literature; Educated at Jadav University, Kolkata",62,62,3,18,18,0,2,2,0,85,85,"34%",0.54,0.54," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.8,0.8,135,"72%",23.232922,79.9678082263125,-79.967808
"Kadir Rana","Elected","18/05/2009","In office","Uttar Pradesh","Muzaffarnagar","Bahujan Samaj Party","Male","Under Matric",,50,50,0,15,15,0,2,2,77,162,162,"53%",0.73,0.73," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",33.3,0.4,178,"80%",29.44481,77.6167048496276,-77.616705
"Kailash Joshi","Elected","18/05/2009","In office","Madhya Pradesh","Bhopal","Bharatiya Janata Party","Male","Matric",,83,83,4,19,19,0,2,2,73,158,158,"84%",1.04,1.04," (Questions, Debates and PMB data corresponds to the period 04 Jun 2009 to 6 Sep 2012, Attendance data till 28 Aug 2012)",28.4,0.6,214,"77%",34.5,0.1,174,"83%",23.492625,77.4101521109739,-77.410152
